figure,analysis,group,term,estimate,ci_lo,ci_hi,p,p_adj,n,ci_level,seed
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-5M-MLM + dose (gate) · test_pearson,0.11442646323161582,0.1127534704852426,0.1162127376188094,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-5M-MTR · test_pearson,0.12258904452226115,0.12077510630315158,0.1245018384192096,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-5M-MTR + dose (gate) · test_pearson,0.12258904452226115,0.12077510630315158,0.1245018384192096,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-77M-MLM · test_pearson,0.12333791895947975,0.12151546398199098,0.12520243871935968,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-77M-MLM + dose (gate) · test_pearson,0.12333791895947975,0.12151546398199098,0.12520243871935968,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MCF7 · test_pearson,0.14170800149440765,0.13924977531455962,0.1439875385998064,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MoLFormer-XL · test_pearson,0.11526713356678339,0.11336950975487743,0.11722238619309655,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MoLFormer-XL + dose (gate) · test_pearson,0.11526713356678339,0.11336950975487743,0.11722238619309655,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MolGen-large · test_pearson,0.11676188094047024,0.1150644572286143,0.11856748999499749,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MolGen-large + dose (gate) · test_pearson,0.11676188094047024,0.1150644572286143,0.11856748999499749,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_1024 · test_pearson,0.12109604802401201,0.11929588544272138,0.12297157953976989,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_1024 + dose (concat) · test_pearson,0.11489599943161011,0.11326703797661511,0.1165363791557785,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_1024 + dose (gate) · test_pearson,0.12109604802401201,0.11929588544272138,0.12297157953976989,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_1024 + dose (onehot) · test_pearson,0.11236099898815155,0.11078079520094608,0.11405567264958895,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_2048 · test_pearson,0.12095172586293146,0.1191676275637819,0.12290591545772887,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_2048 + dose (gate) · test_pearson,0.12095172586293146,0.1191676275637819,0.12290591545772887,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_512 · test_pearson,0.11293496748374188,0.1108831728364182,0.11495759754877437,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_512 + dose (gate) · test_pearson,0.11293496748374188,0.1108831728364182,0.11495759754877437,,,,95.0,0
