dataset,label,mean_pearson,mean_random_512,mean_diff,ci_lo,ci_hi,p_wilcoxon,p_adj_bh,stars,n_pairs
Tahoe,ChemBERTa-77M-MLM,0.4506051242435947,0.43851422685721647,0.012090897386378268,0.010001995622505474,0.014293903695120383,7.935471603835599e-26,4.76128296230136e-25,***,7767
Tahoe,MoLFormer-XL,0.4484807518990601,0.43851422685721647,0.009966525041843697,0.008105574868031415,0.011993272820908975,7.301151136939588e-07,1.0951726705409382e-06,***,7767
Tahoe,Morgan_512,0.44825672717909104,0.43851422685721647,0.0097425003218746,0.007320136474829406,0.012061574610531737,2.1345895058069716e-19,5.488944443503641e-19,***,7767
Tahoe,CheMeleon,0.4471430410711987,0.43851422685721647,0.008628814213982232,0.007028228402214497,0.01024098751126561,4.109757474932819e-10,6.725057686253703e-10,***,7767
Tahoe,ChemBERTa-5M-MTR,0.4468997038753702,0.43851422685721647,0.008385477018153729,0.0063111561735547834,0.010549922750096563,7.612704108475016e-13,1.5225408216950033e-12,***,7767
Tahoe,Morgan_1024,0.4424552594309257,0.43851422685721647,0.003941032573709282,0.0013885026393717008,0.006383545770567787,6.56060262315146e-06,9.083911324363559e-06,***,7767
Tahoe,UniMolv2-570M,0.4422518346852066,0.43851422685721647,0.003737607827990215,0.0009783378395777011,0.006497489378138277,2.2170575631214416e-15,4.988379517023244e-15,***,7767
Tahoe,ChemBERTa-100M-MLM,0.4416685979142526,0.43851422685721647,0.0031543710570361783,0.0014235547830565205,0.004973606282992144,0.044303378621959086,0.044303378621959086,*,7767
Tahoe,Morgan_2048,0.44088579889275137,0.43851422685721647,0.0023715720355349562,-0.00021526973091283544,0.004763872795159006,0.0002670772503427671,0.00034338503615498626,***,7767
Tahoe,MolGen-large,0.4377932277584653,0.43851422685721647,-0.0007209990987511265,-0.0031247907815115236,0.0016897450753186557,0.007754748032069534,0.008724091536078227,**,7767
Tahoe,ChemBERTa-5M-MLM,0.4345860692674134,0.43851422685721647,-0.003928157589803013,-0.005855800180249775,-0.002101165186043517,3.086079848196312e-11,5.5549437267533626e-11,***,7767
Tahoe,UniMolv2-164M,0.43216814728981584,0.43851422685721647,-0.006346079567400541,-0.009237285953392555,-0.0034598622376722024,0.029649922092413527,0.03139403515667315,*,7767
Tahoe,UniMolv2-84M,0.4307106991116261,0.43851422685721647,-0.007803527745590317,-0.010401506373117033,-0.005182116647354189,0.005736889754599776,0.006884267705519731,**,7767
Tahoe,bert-base-smiles,0.4274584781769023,0.43851422685721647,-0.01105574868031415,-0.013364522981846273,-0.008723992532509335,1.383331770800092e-24,4.9799943748803314e-24,***,7767
Tahoe,UniMolv2-310M,0.4222106347367066,0.43851422685721647,-0.016303592120509847,-0.018894199819750226,-0.013826413029483713,4.574967468619237e-25,2.0587353608786564e-24,***,7767
