dataset,category,label,exp_key,metric,estimate,ci_lo,ci_hi
LINCS,dose_encoding,UniMolv2-1.1B + dose (concat),lincs_unimolv2_1.1B_dose_concat,test_l2,15.053604125976562,15.001006804699868,15.103914109142236
LINCS,dose_encoding,UniMolv2-1.1B + dose (gate),lincs_unimolv2_1.1B_dose_gate,test_l2,14.963605802901453,14.9036088981991,15.022469290895447
LINCS,dose_encoding,UniMolv2-1.1B + dose (onehot),lincs_unimolv2_1.1B_dose_onehot,test_l2,15.058762550354004,15.006070788906479,15.108738417227764
LINCS,embedding,UniMolv2-164M,lincs_unimolv2_164m_dose_gate,test_l2,14.972999749874939,14.91137026638319,15.031350243871938
LINCS,dose_encoding,UniMolv2-164M + dose (gate),lincs_unimolv2_164m_dose_gate,test_l2,14.972999749874939,14.91137026638319,15.031350243871938
LINCS,embedding,UniMolv2-310M,lincs_unimolv2_310m_dose_gate,test_l2,14.920224612306155,14.85970438344172,14.978650087543773
LINCS,dose_encoding,UniMolv2-310M + dose (gate),lincs_unimolv2_310m_dose_gate,test_l2,14.920224612306155,14.85970438344172,14.978650087543773
LINCS,embedding,UniMolv2-570M,lincs_unimolv2_570m_dose_gate,test_l2,15.07309104552276,15.013521079289646,15.130426269384694
LINCS,dose_encoding,UniMolv2-570M + dose (gate),lincs_unimolv2_570m_dose_gate,test_l2,15.07309104552276,15.013521079289646,15.130426269384694
LINCS,embedding,UniMolv2-84M,lincs_unimolv2_84m_dose_gate,test_l2,15.017543271635816,14.957819065782891,15.075945291395698
LINCS,dose_encoding,UniMolv2-84M + dose (gate),lincs_unimolv2_84m_dose_gate,test_l2,15.017543271635816,14.957819065782891,15.075945291395698
LINCS,ref_handling,average_ref,lincs_average_ref,test_l2,14.553220748901367,14.495780377688844,14.610778482991494
LINCS,embedding,bert-base-smiles,lincs_bert-base-smiles_dose_gate,test_l2,15.047413456728366,14.986362893946973,15.106165839169584
LINCS,dose_encoding,bert-base-smiles + dose (gate),lincs_bert-base-smiles_dose_gate,test_l2,15.047413456728366,14.986362893946973,15.106165839169584
LINCS,holdout,cell-line holdout,lincs_cellline_holdout,test_l2,14.942145347595215,14.895119956745813,14.997195849438619
LINCS,ablation,default,lincs_default_config,test_l2,14.648696098049024,14.591597304902454,14.703042152326164
LINCS,ablation,delta_ref_only,lincs_delta_ref_only,test_l2,14.902677536010742,14.843167452476237,14.965061530765382
LINCS,ablation,random_512,lincs_random_512_dose_gate,test_l2,14.980252626313156,14.91633688094047,15.04044968734367
LINCS,dose_encoding,random_512 + dose (concat),lincs_random_512_dose_concat,test_l2,14.922905921936035,14.868998564670875,14.973944766055657
LINCS,dose_encoding,random_512 + dose (gate),lincs_random_512_dose_gate,test_l2,14.980252626313156,14.91633688094047,15.04044968734367
LINCS,dose_encoding,random_512 + dose (onehot),lincs_random_512_dose_onehot,test_l2,14.958642959594727,14.906011544623954,15.009585490300799
LINCS,repro,repro_0.0,lincs_default_repro_0,test_l2,14.739768028259277,14.681073355427714,14.799325406453226
LINCS,repro,repro_0.1,lincs_default_repro_0.1,test_l2,15.086919784545898,15.028813694347173,15.14476086168084
LINCS,repro,repro_0.2,lincs_default_repro_0.2,test_l2,15.730912208557129,15.674941433216608,15.78931086168084
LINCS,repro,repro_0.3,lincs_default_repro_0.3,test_l2,16.261568069458008,16.208404671085546,16.31716926588294
LINCS,repro,repro_0.4,lincs_default_repro_0.4,test_l2,17.957311630249023,17.900096010505255,18.01681783391696
LINCS,repro,repro_0.5,lincs_default_repro_0.5,test_l2,20.179481506347656,20.123215232616307,20.243193234117054
LINCS,ref_handling,resample_ref,lincs_resample_ref,test_l2,14.595251083374023,14.537795772886442,14.651680058779393
LINCS,embedding,CheMeleon,lincs_CheMeleon_dose_gate,test_pearson,0.1233526763381691,0.12155470860430213,0.12534263381690847
LINCS,dose_encoding,CheMeleon + dose (concat),lincs_CheMeleon_dose_concat,test_pearson,0.1217930018901825,0.12008538539302269,0.12348422568523852
LINCS,dose_encoding,CheMeleon + dose (gate),lincs_CheMeleon_dose_gate,test_pearson,0.1233526763381691,0.12155470860430213,0.12534263381690847
LINCS,dose_encoding,CheMeleon + dose (onehot),lincs_CheMeleon_dose_onehot,test_pearson,0.11558700352907181,0.11375182158048333,0.11741512960878936
LINCS,embedding,ChemBERTa-100M-MLM,lincs_ChemBERTa-100M-MLM_dose_gate,test_pearson,0.11326538269134569,0.11143869434717361,0.115205383941971
LINCS,dose_encoding,ChemBERTa-100M-MLM + dose (gate),lincs_ChemBERTa-100M-MLM_dose_gate,test_pearson,0.11326538269134569,0.11143869434717361,0.115205383941971
LINCS,embedding,ChemBERTa-5M-MLM,lincs_ChemBERTa-5M-MLM_dose_gate,test_pearson,0.11442646323161582,0.1127534704852426,0.1162127376188094
LINCS,dose_encoding,ChemBERTa-5M-MLM + dose (gate),lincs_ChemBERTa-5M-MLM_dose_gate,test_pearson,0.11442646323161582,0.1127534704852426,0.1162127376188094
LINCS,embedding,ChemBERTa-5M-MTR,lincs_ChemBERTa-5M-MTR_dose_gate,test_pearson,0.12258904452226115,0.12077510630315158,0.1245018384192096
LINCS,dose_encoding,ChemBERTa-5M-MTR + dose (gate),lincs_ChemBERTa-5M-MTR_dose_gate,test_pearson,0.12258904452226115,0.12077510630315158,0.1245018384192096
LINCS,embedding,ChemBERTa-77M-MLM,lincs_ChemBERTa-77M-MLM_dose_gate,test_pearson,0.12333791895947975,0.12151546398199098,0.12520243871935968
LINCS,dose_encoding,ChemBERTa-77M-MLM + dose (gate),lincs_ChemBERTa-77M-MLM_dose_gate,test_pearson,0.12333791895947975,0.12151546398199098,0.12520243871935968
LINCS,ref_cell,MCF7,lincs_MCF7,test_pearson,0.14170800149440765,0.13924977531455962,0.1439875385998064
LINCS,embedding,MoLFormer-XL,lincs_MoLFormer-XL-both-10pct_dose_gate,test_pearson,0.11526713356678339,0.11336950975487743,0.11722238619309655
LINCS,dose_encoding,MoLFormer-XL + dose (gate),lincs_MoLFormer-XL-both-10pct_dose_gate,test_pearson,0.11526713356678339,0.11336950975487743,0.11722238619309655
LINCS,embedding,MolGen-large,lincs_MolGen-large_dose_gate,test_pearson,0.11676188094047024,0.1150644572286143,0.11856748999499749
LINCS,dose_encoding,MolGen-large + dose (gate),lincs_MolGen-large_dose_gate,test_pearson,0.11676188094047024,0.1150644572286143,0.11856748999499749
LINCS,embedding,Morgan_1024,lincs_Morgan_1024_dose_gate,test_pearson,0.12109604802401201,0.11929588544272138,0.12297157953976989
LINCS,dose_encoding,Morgan_1024 + dose (concat),lincs_Morgan_1024_dose_concat,test_pearson,0.11489599943161011,0.11326703797661511,0.1165363791557785
LINCS,dose_encoding,Morgan_1024 + dose (gate),lincs_Morgan_1024_dose_gate,test_pearson,0.12109604802401201,0.11929588544272138,0.12297157953976989
LINCS,dose_encoding,Morgan_1024 + dose (onehot),lincs_Morgan_1024_dose_onehot,test_pearson,0.11236099898815155,0.11078079520094608,0.11405567264958895
LINCS,embedding,Morgan_2048,lincs_Morgan_2048_dose_gate,test_pearson,0.12095172586293146,0.1191676275637819,0.12290591545772887
LINCS,dose_encoding,Morgan_2048 + dose (gate),lincs_Morgan_2048_dose_gate,test_pearson,0.12095172586293146,0.1191676275637819,0.12290591545772887
LINCS,embedding,Morgan_512,lincs_Morgan_512_dose_gate,test_pearson,0.11293496748374188,0.1108831728364182,0.11495759754877437
LINCS,dose_encoding,Morgan_512 + dose (gate),lincs_Morgan_512_dose_gate,test_pearson,0.11293496748374188,0.1108831728364182,0.11495759754877437
LINCS,ref_cell,PC3,lincs_PC3,test_pearson,0.1351580023765564,0.13319177504677862,0.1373417323107487
LINCS,embedding,UniMolv1-84M,lincs_unimolv1_84m_dose_gate,test_pearson,0.11366058029014509,0.11194826163081543,0.11544794897448725
LINCS,dose_encoding,UniMolv1-84M + dose (gate),lincs_unimolv1_84m_dose_gate,test_pearson,0.11366058029014509,0.11194826163081543,0.11544794897448725
LINCS,embedding,UniMolv2-1.1B,lincs_unimolv2_1.1B_dose_gate,test_pearson,0.11626613306653326,0.11450882316158079,0.11813870060030016
LINCS,dose_encoding,UniMolv2-1.1B + dose (concat),lincs_unimolv2_1.1B_dose_concat,test_pearson,0.08141600340604782,0.07969272512255138,0.0832367148606634
LINCS,dose_encoding,UniMolv2-1.1B + dose (gate),lincs_unimolv2_1.1B_dose_gate,test_pearson,0.11626613306653326,0.11450882316158079,0.11813870060030016
LINCS,dose_encoding,UniMolv2-1.1B + dose (onehot),lincs_unimolv2_1.1B_dose_onehot,test_pearson,0.0764480009675026,0.07453356095141815,0.07823987163102983
LINCS,embedding,UniMolv2-164M,lincs_unimolv2_164m_dose_gate,test_pearson,0.11389969984992496,0.11213880065032517,0.11580395822911456
LINCS,dose_encoding,UniMolv2-164M + dose (gate),lincs_unimolv2_164m_dose_gate,test_pearson,0.11389969984992496,0.11213880065032517,0.11580395822911456
LINCS,embedding,UniMolv2-310M,lincs_unimolv2_310m_dose_gate,test_pearson,0.12094147073536768,0.11908287893946973,0.12293281640820411
LINCS,dose_encoding,UniMolv2-310M + dose (gate),lincs_unimolv2_310m_dose_gate,test_pearson,0.12094147073536768,0.11908287893946973,0.12293281640820411
LINCS,embedding,UniMolv2-570M,lincs_unimolv2_570m_dose_gate,test_pearson,0.11563931965982992,0.11379449099549775,0.11759248374187094
LINCS,dose_encoding,UniMolv2-570M + dose (gate),lincs_unimolv2_570m_dose_gate,test_pearson,0.11563931965982992,0.11379449099549775,0.11759248374187094
LINCS,embedding,UniMolv2-84M,lincs_unimolv2_84m_dose_gate,test_pearson,0.11489669834917458,0.11306956603301652,0.11685097548774387
LINCS,dose_encoding,UniMolv2-84M + dose (gate),lincs_unimolv2_84m_dose_gate,test_pearson,0.11489669834917458,0.11306956603301652,0.11685097548774387
LINCS,ref_handling,average_ref,lincs_average_ref,test_pearson,0.17788299918174744,0.17550597173586793,0.18018921335667837
LINCS,embedding,bert-base-smiles,lincs_bert-base-smiles_dose_gate,test_pearson,0.11246723361680842,0.11064249624812408,0.11422976488244123
LINCS,dose_encoding,bert-base-smiles + dose (gate),lincs_bert-base-smiles_dose_gate,test_pearson,0.11246723361680842,0.11064249624812408,0.11422976488244123
LINCS,holdout,cell-line holdout,lincs_cellline_holdout,test_pearson,0.1298770010471344,0.128000763850543,0.13161288882753544
LINCS,ablation,default,lincs_default_config,test_pearson,0.1514727363681841,0.14919139569784895,0.15390687218609303
LINCS,ablation,delta_ref_only,lincs_delta_ref_only,test_pearson,0.10236000269651413,0.10010771010505252,0.10450322661330665
LINCS,ablation,random_512,lincs_random_512_dose_gate,test_pearson,0.10929339669834919,0.10768760630315156,0.11101330665332666
LINCS,dose_encoding,random_512 + dose (concat),lincs_random_512_dose_concat,test_pearson,0.0993570014834404,0.09793446601941748,0.10084695862818778
LINCS,dose_encoding,random_512 + dose (gate),lincs_random_512_dose_gate,test_pearson,0.10929339669834919,0.10768760630315156,0.11101330665332666
LINCS,dose_encoding,random_512 + dose (onehot),lincs_random_512_dose_onehot,test_pearson,0.09303800016641617,0.09150998054437598,0.09462952295572892
LINCS,repro,repro_0.0,lincs_default_repro_0,test_pearson,0.1351740062236786,0.13288305402701353,0.1373524699849925
LINCS,repro,repro_0.1,lincs_default_repro_0.1,test_pearson,0.12325499951839447,0.12085108804402202,0.12548851300650324
LINCS,repro,repro_0.2,lincs_default_repro_0.2,test_pearson,0.11085300147533417,0.10861239994997499,0.11304439094547274
LINCS,repro,repro_0.3,lincs_default_repro_0.3,test_pearson,0.10241299867630005,0.10013019634817409,0.10463161580790395
LINCS,repro,repro_0.4,lincs_default_repro_0.4,test_pearson,0.0918779969215393,0.08949570410205103,0.0942903764382191
LINCS,repro,repro_0.5,lincs_default_repro_0.5,test_pearson,0.08367300033569336,0.08166039894947474,0.08582342421210605
LINCS,ref_handling,resample_ref,lincs_resample_ref,test_pearson,0.15569999814033508,0.15350724737368682,0.15794248999499752
LINCS,embedding,CheMeleon,lincs_CheMeleon_dose_gate,test_spearman,0.12258229114557279,0.12076732741370685,0.12448951975987994
LINCS,dose_encoding,CheMeleon + dose (concat),lincs_CheMeleon_dose_concat,test_spearman,0.12265,0.12088812062486885,0.12437469242947337
LINCS,dose_encoding,CheMeleon + dose (gate),lincs_CheMeleon_dose_gate,test_spearman,0.12258229114557279,0.12076732741370685,0.12448951975987994
LINCS,dose_encoding,CheMeleon + dose (onehot),lincs_CheMeleon_dose_onehot,test_spearman,0.117674,0.1158457617258283,0.11948199877925496
