lincs_position,gene_id,gene_symbol,ensembl_id
310,5290,PIK3CA,ENSG00000121879
311,5300,PIN1,ENSG00000127445
312,5321,PLA2G4A,ENSG00000116711
313,5331,PLCB3,ENSG00000149782
314,5347,PLK1,ENSG00000166851
315,5355,PLP2,ENSG00000102007
316,5357,PLS1,ENSG00000120756
317,5359,PLSCR1,ENSG00000188313
318,5366,PMAIP1,ENSG00000141682
319,5373,PMM2,ENSG00000140650
320,5423,POLB,ENSG00000070501
321,5427,POLE2,ENSG00000100479
322,5438,POLR2I,ENSG00000105258
323,5440,POLR2K,ENSG00000147669
324,5467,PPARD,ENSG00000112033
325,5468,PPARG,ENSG00000132170
326,5480,PPIC,ENSG00000168938
327,5498,PPOX,ENSG00000143224
328,5525,PPP2R5A,ENSG00000066027
329,5529,PPP2R5E,ENSG00000154001
330,5547,PRCP,ENSG00000137509
331,5566,PRKACA,ENSG00000072062
332,5580,PRKCD,ENSG00000163932
333,5583,PRKCH,ENSG00000027075
334,5588,PRKCQ,ENSG00000065675
335,5601,MAPK9,ENSG00000050748
336,5603,MAPK13,ENSG00000156711
337,5607,MAP2K5,ENSG00000137764
338,5613,PRKX,ENSG00000183943
339,5627,PROS1,ENSG00000184500
340,5641,LGMN,ENSG00000100600
341,5654,HTRA1,ENSG00000166033
342,5696,PSMB8,ENSG00000204264
343,5699,PSMB10,ENSG00000205220
344,5708,PSMD2,ENSG00000175166
345,5710,PSMD4,ENSG00000159352
346,5715,PSMD9,ENSG00000110801
347,5716,PSMD10,ENSG00000101843
348,5720,PSME1,ENSG00000092010
349,5721,PSME2,ENSG00000100911
350,5743,PTGS2,ENSG00000073756
351,5747,PTK2,ENSG00000169398
352,5770,PTPN1,ENSG00000196396
353,5777,PTPN6,ENSG00000111679
354,5782,PTPN12,ENSG00000127947
355,5788,PTPRC,ENSG00000081237
356,5792,PTPRF,ENSG00000142949
357,5796,PTPRK,ENSG00000152894
358,5827,PXMP2,ENSG00000176894
359,5829,PXN,ENSG00000089159
360,5831,PYCR1,ENSG00000183010
361,5836,PYGL,ENSG00000100504
362,5867,RAB4A,ENSG00000168118
363,5873,RAB27A,ENSG00000069974
364,5880,RAC2,ENSG00000128340
365,5883,RAD9A,ENSG00000172613
366,5889,RAD51C,ENSG00000108384
367,5891,MOK,ENSG00000080823
368,5898,RALA,ENSG00000006451
369,5899,RALB,ENSG00000144118
370,5900,RALGDS,ENSG00000160271
371,5909,RAP1GAP,ENSG00000076864
372,5921,RASA1,ENSG00000145715
373,5925,RB1,ENSG00000139687
374,5927,KDM5A,ENSG00000073614
375,5971,RELB,ENSG00000104856
376,5982,RFC2,ENSG00000049541
377,5985,RFC5,ENSG00000111445
378,5986,RFNG,ENSG00000169733
379,5993,RFX5,ENSG00000143390
380,5997,RGS2,ENSG00000116741
381,6009,RHEB,ENSG00000106615
382,6050,RNH1,ENSG00000023191
383,6117,RPA1,ENSG00000132383
384,6118,RPA2,ENSG00000117748
385,6119,RPA3,ENSG00000106399
386,6182,MRPL12,ENSG00000262814
387,6184,RPN1,ENSG00000163902
388,6193,RPS5,ENSG00000083845
