gene_symbol,ensembl_id,token_id
ADAM10,ENSG00000137845,7550
SLC5A6,ENSG00000138074,7595
FBXO11,ENSG00000138081,7600
ANXA7,ENSG00000138279,7633
HERC6,ENSG00000138642,7695
CENPE,ENSG00000138778,7734
HADH,ENSG00000138796,7740
EGF,ENSG00000138798,7741
DUSP6,ENSG00000139318,7803
RB1,ENSG00000139687,7863
MBNL2,ENSG00000139793,7876
GTF2A2,ENSG00000140307,7937
TSPAN3,ENSG00000140391,7951
TPM1,ENSG00000140416,7958
IGF1R,ENSG00000140443,7959
IQGAP1,ENSG00000140575,7993
PMM2,ENSG00000140650,8000
TXNL4B,ENSG00000140830,8016
NOL3,ENSG00000140939,8031
MBTPS1,ENSG00000140943,8033
CLTC,ENSG00000141367,8086
NPC1,ENSG00000141458,8111
TP53,ENSG00000141510,8121
PMAIP1,ENSG00000141682,8155
ERBB2,ENSG00000141736,8159
GRB7,ENSG00000141738,8160
PFKL,ENSG00000141959,8178
SIRT3,ENSG00000142082,8191
IFNAR1,ENSG00000142166,8197
APP,ENSG00000142192,8205
AKT1,ENSG00000142208,8208
NOSIP,ENSG00000142546,8244
WDTC1,ENSG00000142784,8278
KIF2C,ENSG00000142945,8291
PTPRF,ENSG00000142949,8292
MTF2,ENSG00000143033,8301
ATP1B1,ENSG00000143153,8317
MPC2,ENSG00000143158,8321
CREG1,ENSG00000143162,8322
TMCO1,ENSG00000143183,8328
PPOX,ENSG00000143224,8340
PRUNE1,ENSG00000143363,8367
RFX5,ENSG00000143390,8380
MINDY1,ENSG00000143409,8384
DYRK3,ENSG00000143479,8402
TP53BP2,ENSG00000143514,8411
SLC27A3,ENSG00000143554,8422
INTS3,ENSG00000143624,8435
SCCPDH,ENSG00000143653,8443
NVL,ENSG00000143748,8450
PARP1,ENSG00000143799,8463
LBR,ENSG00000143815,8466
DUSP11,ENSG00000144048,8511
RALB,ENSG00000144118,8516
HSPD1,ENSG00000144381,8552
VGLL4,ENSG00000144560,8575
ATG3,ENSG00000144848,8627
TCTA,ENSG00000145022,8645
ENOPH1,ENSG00000145293,8675
SNCA,ENSG00000145335,8680
CCNA2,ENSG00000145386,8690
MYO10,ENSG00000145555,8710
SSBP2,ENSG00000145687,8722
RASA1,ENSG00000145715,8727
TNIP1,ENSG00000145901,8762
G3BP1,ENSG00000145907,8763
GFOD1,ENSG00000145990,8777
TNFRSF21,ENSG00000146072,8794
NFKBIE,ENSG00000146232,8813
EGFR,ENSG00000146648,8862
IGFBP3,ENSG00000146674,8865
TLK2,ENSG00000146872,8892
CASK,ENSG00000147044,8908
EBP,ENSG00000147155,8930
NSDHL,ENSG00000147383,8957
POLR2K,ENSG00000147669,9004
CDKN2A,ENSG00000147889,9029
NOTCH1,ENSG00000148400,9087
USP6NL,ENSG00000148429,9091
RSU1,ENSG00000148484,9099
PAK1,ENSG00000149269,9183
HYOU1,ENSG00000149428,9200
EML3,ENSG00000149499,9212
CHEK1,ENSG00000149554,9224
YTHDF1,ENSG00000149658,9247
PLCB3,ENSG00000149782,9255
ALDOA,ENSG00000149925,9263
HMGA2,ENSG00000149948,9269
ARID5B,ENSG00000150347,9288
PRSS23,ENSG00000150687,9318
UBE3B,ENSG00000151148,9364
INPP1,ENSG00000151689,9435
SLC25A4,ENSG00000151729,9446
BAG3,ENSG00000151929,9471
RPP38,ENSG00000152464,9537
MBNL1,ENSG00000152601,9557
PTPRK,ENSG00000152894,9584
CAST,ENSG00000153113,9617
CETN3,ENSG00000153140,9620
RPIA,ENSG00000153574,9665
HS2ST1,ENSG00000153936,9695
PPP2R5E,ENSG00000154001,9703
TOMM70,ENSG00000154174,9729
DIPK1A,ENSG00000154511,9769
TSEN2,ENSG00000154743,9796
CDK19,ENSG00000155111,9840
OXA1L,ENSG00000155463,9867
FZD7,ENSG00000155760,9893
RRAGA,ENSG00000155876,9905
DCK,ENSG00000156136,9940
TIAM1,ENSG00000156299,9964
MTERF3,ENSG00000156469,9981
SUPV3L1,ENSG00000156502,9987
HK1,ENSG00000156515,9992
UBE2L6,ENSG00000156587,9999
KAT6B,ENSG00000156650,10004
UTP14A,ENSG00000156697,10009
MAPK13,ENSG00000156711,10011
TBC1D31,ENSG00000156787,10015
PHKG2,ENSG00000156873,10024
BUB1B,ENSG00000156970,10037
TATDN2,ENSG00000157014,10043
FZD1,ENSG00000157240,10075
KIT,ENSG00000157404,10092
CCNB2,ENSG00000157456,10098
TSC22D3,ENSG00000157514,10104
C2CD2,ENSG00000157617,10117
NCK1,ENSG00000158092,10171
FAIM,ENSG00000158234,10188
GDPD5,ENSG00000158555,10232
NIT1,ENSG00000158793,10258
CSRP1,ENSG00000159176,10300
CBR1,ENSG00000159228,10316
CBR3,ENSG00000159231,10317
PSMD4,ENSG00000159352,10336
