exp_key,dataset,category,label,n_train,train_pearson,val_pearson,test_pearson,train_spearman,val_spearman,test_spearman,test_l2,test_cosine_sim,test_pearson_lo,test_pearson_hi,test_spearman_lo,test_spearman_hi,test_l2_lo,test_l2_hi,test_cosine_sim_lo,test_cosine_sim_hi
lincs_default_repro_0.1,LINCS,repro,repro_0.1,51352.0,0.46503499150276184,0.14416399598121643,0.12325499951839447,0.456421,0.141571,0.123146,15.086919784545898,0.12330000102519989,0.12085108804402202,0.12548851300650324,0.12069257128564283,0.12545812281140573,15.028813694347173,15.14476086168084,0.12085556528264133,0.12553129689844922
lincs_default_repro_0.2,LINCS,repro,repro_0.2,27361.0,0.6612409949302673,0.13221299648284912,0.11085300147533417,0.640702,0.128642,0.1097,15.730912208557129,0.11088600009679794,0.10861239994997499,0.11304439094547274,0.10735538394197099,0.11206450725362681,15.674941433216608,15.78931086168084,0.10863440470235118,0.11310989869934968
lincs_default_repro_0.3,LINCS,repro,repro_0.3,17227.0,0.6724770069122314,0.12610700726509094,0.10241299867630005,0.645449,0.114957,0.093315,16.261568069458008,0.10229700058698654,0.10013019634817409,0.10463161580790395,0.09098860680340172,0.0955247811405703,16.208404671085546,16.31716926588294,0.1000385067533767,0.10454202101050525
lincs_default_repro_0.4,LINCS,repro,repro_0.4,11440.0,0.8428660035133362,0.1163880005478859,0.0918779969215393,0.818326,0.108083,0.085666,17.957311630249023,0.09176599979400635,0.08949570410205103,0.0942903764382191,0.08325285142571286,0.088123911955978,17.900096010505255,18.01681783391696,0.08934509754877439,0.09413337293646823
lincs_default_repro_0.5,LINCS,repro,repro_0.5,7492.0,0.883620023727417,0.10690300166606903,0.08367300033569336,0.86018,0.095296,0.073048,20.179481506347656,0.08357399702072144,0.08166039894947474,0.08582342421210605,0.07093246623311657,0.0752693784392196,20.123215232616307,20.243193234117054,0.0815903951975988,0.08575188219109556
lincs_delta_ref_only,LINCS,ablation,delta_ref_only,225562.0,0.19371899962425232,0.1223829984664917,0.10236000269651413,0.207338,0.12632,0.109504,14.902677536010742,0.102292999625206,0.10010771010505252,0.10450322661330665,0.10724816783391695,0.11176256878439218,14.843167452476237,14.965061530765382,0.10002441220610306,0.10442990870435216
lincs_random_512_dose_concat,LINCS,dose_encoding,random_512 + dose (concat),369199.0,0.13477599620819092,0.11025100201368332,0.0993570014834404,0.136288,0.110593,0.100679,14.922905921936035,0.09927599877119064,0.09793446601941748,0.10084695862818778,0.09919894329257826,0.10227272207068877,14.868998564670875,14.973944766055657,0.09784898048715357,0.1007676340435272
lincs_random_512_dose_gate,LINCS,dose_encoding,random_512 + dose (gate),369199.0,0.13874199986457825,0.1211559996008873,0.10929339669834919,0.136001,0.117213,0.10477913956978491,14.980252626313156,0.10916908454227116,0.10768760630315156,0.11101330665332666,0.10305422711355677,0.10661643946973488,14.91633688094047,15.04044968734367,0.1075516695847924,0.11090988619309655
lincs_random_512_dose_onehot,LINCS,dose_encoding,random_512 + dose (onehot),369199.0,0.13414299488067627,0.10529100149869919,0.09303800016641617,0.133577,0.102288,0.09043,14.958642959594727,0.09275399893522263,0.09150998054437598,0.09462952295572892,0.08876812520266275,0.09201580769450854,14.906011544623954,15.009585490300799,0.09120832300150686,0.09434283861369143
lincs_resample_ref,LINCS,ref_handling,resample_ref,225562.0,0.20983700454235077,0.18129600584506989,0.15569999814033508,0.215884,0.182099,0.159039,14.595251083374023,0.1558700054883957,0.15350724737368682,0.15794248999499752,0.15697619434717358,0.16129348424212106,14.537795772886442,14.651680058779393,0.15368631815907954,0.15816053651825912
lincs_unimolv1_84m_dose_gate,LINCS,dose_encoding,UniMolv1-84M + dose (gate),369199.0,,0.12363599985837936,0.11366058029014509,,0.120493,0.11068834417208603,15.014518009004501,0.11354227113556778,0.11194826163081543,0.11544794897448725,0.10902981490745373,0.11256159329664833,14.954123330415209,15.07287934592296,0.11178753751875938,0.11533600550275136
lincs_unimolv2_1.1B_dose_concat,LINCS,dose_encoding,UniMolv2-1.1B + dose (concat),369199.0,,0.08770100027322769,0.08141600340604782,,0.086261,0.079833,15.053604125976562,0.08126600086688995,0.07969272512255138,0.0832367148606634,0.07801064337078223,0.08170793675014783,15.001006804699868,15.103914109142236,0.07953909722089764,0.08310525587960402
lincs_unimolv2_1.1B_dose_gate,LINCS,dose_encoding,UniMolv2-1.1B + dose (gate),369199.0,0.16979500651359558,0.12588800489902496,0.11626613306653326,0.171582,0.126491,0.11739794897448724,14.963605802901453,0.11616908454227115,0.11450882316158079,0.11813870060030016,0.11555469609804901,0.11928097173586794,14.9036088981991,15.022469290895447,0.11442095422711354,0.1180718171585793
lincs_unimolv2_1.1B_dose_onehot,LINCS,dose_encoding,UniMolv2-1.1B + dose (onehot),369199.0,0.17886200547218323,0.08372800052165985,0.0764480009675026,0.186423,0.084782,0.078039,15.058762550354004,0.07634399831295013,0.07453356095141815,0.07823987163102983,0.07601464417189614,0.07991544910065425,15.006070788906479,15.108738417227764,0.07441368474259447,0.07815052835371086
lincs_unimolv2_164m_dose_gate,LINCS,dose_encoding,UniMolv2-164M + dose (gate),369199.0,0.14794500172138214,0.12109500169754028,0.11389969984992496,0.149795,0.121906,0.11509404702351175,14.972999749874939,0.11383316658329162,0.11213880065032517,0.11580395822911456,0.11336316283141572,0.11699837418709355,14.91137026638319,15.031350243871938,0.11205651575787892,0.11573519259629815
lincs_unimolv2_310m_dose_gate,LINCS,dose_encoding,UniMolv2-310M + dose (gate),369199.0,0.17132499814033508,0.12931300699710846,0.12094147073536768,0.173505,0.12913,0.1209087043521761,14.920224612306155,0.12088369184592297,0.11908287893946973,0.12293281640820411,0.1190121435717859,0.12286318159079539,14.85970438344172,14.978650087543773,0.11904253376688345,0.12286651450725364
lincs_unimolv2_570m_dose_gate,LINCS,dose_encoding,UniMolv2-570M + dose (gate),369199.0,,0.1254590004682541,0.11563931965982992,,0.124857,0.11580090045022512,15.07309104552276,0.115524012006003,0.11379449099549775,0.11759248374187094,0.11392686968484242,0.11783618059029516,15.013521079289646,15.130426269384694,0.11366524512256129,0.11747831415707854
lincs_unimolv2_84m_dose_gate,LINCS,dose_encoding,UniMolv2-84M + dose (gate),369199.0,0.15822499990463257,0.12338799983263016,0.11489669834917458,0.159515,0.123045,0.11479989994997498,15.017543271635816,0.11486343171585794,0.11306956603301652,0.11685097548774387,0.11288309154577289,0.11676175587793897,14.957819065782891,15.075945291395698,0.11301236243121561,0.11682271760880439
tahoe_CVCL_0131,Tahoe,ref_cell,A-172 (CVCL_0131),39685.0,0.8406109809875488,0.7946860194206238,0.7966269850730896,0.681171,0.632904,0.636679,5.204592227935791,0.7967320084571838,0.7942481331273334,0.7991093086133643,0.6345766705291619,0.6390847495815629,5.143695216943478,5.263844148319815,0.7943360692674135,0.799181601647998
tahoe_CVCL_0218,Tahoe,ref_cell,COLO 205 (CVCL_0218),39630.0,0.8157070279121399,0.7847669720649719,0.7851020097732544,0.655373,0.622759,0.625091,5.266054153442383,0.7852150201797485,0.7827784781484355,0.7873865722782519,0.6230753814326351,0.627229764675459,5.2155444789242305,5.31888363072149,0.7829273015257305,0.7875232738557021
tahoe_CVCL_0480,Tahoe,ref_cell,PANC-1 (CVCL_0480),39685.0,0.8634080290794373,0.8168119788169861,0.8097950220108032,0.70871,0.65948,0.653673,5.050970077514648,0.8098819851875305,0.8074519763100296,0.8121381163898546,0.6515212759109053,0.6557525749967814,4.990825447405691,5.110824771469035,0.807538045577443,0.8122178447276941
tahoe_CheMeleon_dose_concat,Tahoe,dose_encoding,CheMeleon + dose (concat),39709.0,0.4808579981327057,0.35315901041030884,0.4352859854698181,0.361116,0.261982,0.321889,7.921327114105225,0.43500301241874695,0.43105948242564696,0.4395072421784473,0.31882184241019695,0.3248953585683018,7.850816724604095,7.992928286339642,0.43081215398480754,0.43924694219132226
tahoe_CheMeleon_dose_gate,Tahoe,dose_encoding,CheMeleon + dose (gate),39709.0,0.42844998836517334,0.3648419976234436,0.4471430410711987,0.322565,0.273703,0.33333848332689586,7.844904081369898,0.44689326638341703,0.4430254924681345,0.45111185142268573,0.33042345822067715,0.33617519634350457,7.777339255825929,7.915986288142141,0.44274713531608084,0.4508542873696408
